Patch	Probes	ProbeNumber	A00	A01	A20	A37	B71	E20	gfe	size	protrusion	convexity	compactness	hydrophobicity	charge_density	flexibility	fpocket	flexibility_A00	flexibility_A01	flexibility_A20	flexibility_A37	flexibility_B71	flexibility_E20
Patch1	A00, A01, A20, A37, B71	5	1	1	1	1	1	0	-2.2454	2291.9334	0.4592	0.0188	8.8962	0.2158	-0.0164	1.4576	0	1.587	1.349	1.447	1.400	1.505	1.593	
Patch2	B71	1	0	0	0	0	1	0	-2.754	1419.269	0.611	0.021	7.009	0.347	-0.016	1.971	0	2.094	1.755	1.883	1.872	1.971	2.043	
Patch3	A00, A01, A20, A37, B71, E20	6	1	1	1	1	1	1	-2.51683333333333	3710.2625	0.412	0.018	11.135	0.5485	-0.0165	1.24666666666667	0	1.308	1.120	1.172	1.222	1.303	1.355	
Patch4	A00, A01, A20, A37, B71	5	1	1	1	1	1	0	-2.5166	1804.2706	0.1732	0.0188	9.031	0.3452	-0.0204	0.8872	0	1.003	0.974	0.742	0.994	0.723	1.006	
Patch5	A01, A20, B71	3	0	1	1	0	1	0	-2.242	1983.48633333333	0.345	0.02	8.11966666666667	0.361666666666667	-0.0163333333333333	0.881	0	0.849	0.903	0.889	0.847	0.851	0.825	
Patch6	A00, A01, A20, A37, B71	5	1	1	1	1	1	0	-2.1956	2801.3168	0.216	0.0166	10.0432	0.412	-0.0216	1.1462	0	1.123	1.250	1.026	1.100	1.232	1.340	
Patch7	A01, A37, B71	3	0	1	0	1	1	0	-2.48733333333333	1447.941	0.395666666666667	0.0196666666666667	7.557	0.644333333333333	-0.017	0.844666666666667	0	0.854	0.872	0.820	0.821	0.841	0.852	
Patch8	A00, A01, A20, A37, B71	5	1	1	1	1	1	0	-2.2198	4397.1224	0.2114	0.0174	11.445	0.5912	-0.0212	0.8254	0	0.803	0.917	0.799	0.814	0.794	0.810	
Patch9	A01, A20	2	0	1	1	0	0	0	-2.513	883.5795	0.8285	0.018	9.4165	-0.082	-0.014	2.5065	0	2.583	3.073	1.940	2.412	2.519	2.198	
Patch10	A01, A20	2	0	1	1	0	0	0	-2.5	1422.3795	0.591	0.0185	7.7645	0.276	-0.0135	2.1625	0	2.184	2.438	1.887	1.990	2.162	2.375	
Patch11	A00, A01, A20, A37, B71, E20	6	1	1	1	1	1	1	-2.37116666666667	2408.31216666667	0.301	0.018	10.5271666666667	0.420666666666667	-0.017	1.28183333333333	0	1.399	1.464	1.038	1.329	1.352	1.109	
Patch12	A00, A20	2	1	0	1	0	0	0	-2.425	1351.476	0.4275	0.018	7.0085	0.289	-0.016	1.942	0	2.096	2.353	1.788	1.891	2.078	2.137	
Patch13	A01, A20	2	0	1	1	0	0	0	-2.4035	1650.6285	0.45	0.019	8.4875	0.4825	-0.0165	1.5625	0	1.998	1.508	1.617	1.541	1.736	1.829	
Patch14	A20	1	0	0	1	0	0	0	-2.744	2253.633	0.474	0.02	8.742	0.554	-0.015	1.503	0	1.546	1.398	1.503	1.433	1.529	1.580	
Patch15	A20	1	0	0	1	0	0	0	-2.775	1842.028	0.153	0.015	7.487	0.666	-0.026	0.989	0	1.230	1.906	0.989	1.176	1.149	1.830	
Patch16	A20, E20	2	0	0	1	0	0	1	-2.239	1965.231	0.3685	0.016	9.5905	0.562	-0.0165	1.66	0	1.677	1.988	1.511	1.550	1.216	1.809	
Patch17	A00, A01, A20, A37	4	1	1	1	1	0	0	-1.9465	1554.7515	0.5835	0.015	9.6205	0.19475	-0.01325	1.85325	0	1.821	2.118	1.685	1.789	1.595	1.812	
Patch18	A00, A01, A20	3	1	1	1	0	0	0	-2.48333333333333	1242.38	0.464333333333333	0.0153333333333333	7.20466666666667	0.032	-0.019	0.977	0	1.016	1.002	0.913	0.929	0.909	1.041	
Patch19	A00, A01, A20, B71	4	1	1	1	0	1	0	-1.89	3344.60275	0.0145	0.01625	9.8185	1.04475	-0.04475	0.67375	0	0.691	0.715	0.643	0.650	0.646	0.670	
Patch20	A01, A20, A37	3	0	1	1	1	0	0	-2.51966666666667	1082.362	0.421	0.019	6.62566666666667	0.327333333333333	-0.0163333333333333	0.881333333333333	0	0.816	0.919	0.843	0.882	0.820	0.827	
Patch21	A01, A20, A37	3	0	1	1	1	0	0	-2.587	1772.703	0.283666666666667	0.0153333333333333	7.805	0.302333333333333	-0.016	0.826	0	0.827	0.888	0.778	0.812	0.780	0.827	
Patch22	A00, A20	2	1	0	1	0	0	0	-2.3615	1157.395	0.491	0.023	7.4535	0.705	-0.016	0.715	0	0.707	0.766	0.723	0.733	0.718	0.715	
Patch23	A01, A20	2	0	1	1	0	0	0	-2.6955	1702.114	0.3295	0.014	8.1815	0.31	-0.019	0.852	0	0.864	0.894	0.810	0.814	0.820	0.865	
Patch24	A01, A37	2	0	1	0	1	0	0	-2.5565	987.8225	0.581	0.0225	6.4775	0.174	-0.0125	1.085	0	1.013	1.100	1.047	1.070	1.050	1.055	
Patch25	A01	1	0	1	0	0	0	0	-2.567	955.527	0.571	0.019	6.436	0.14	-0.013	2.959	0	2.823	2.959	2.310	2.532	2.761	3.075	
Patch26	A01	1	0	1	0	0	0	0	-2.635	964.207	0.512	0.018	6.572	-0.076	-0.016	1.035	0	0.995	1.035	1.017	0.984	0.997	1.053	
Patch27	A01	1	0	1	0	0	0	0	-2.617	1505.9	0.435	0.02	8.411	0.22	-0.015	1.477	0	1.441	1.477	1.685	1.665	1.700	1.978	
Patch28	A01	1	0	1	0	0	0	0	-2.824	1642.419	0.262	0.017	7.073	0.595	-0.022	0.823	0	0.794	0.823	0.731	0.765	0.727	0.764	
Patch29	A01	1	0	1	0	0	0	0	-2.869	1872.949	0.173	0.014	7.567	0.429	-0.023	0.798	0	0.804	0.798	0.729	0.789	0.754	0.786	
Patch30	A01	1	0	1	0	0	0	0	-2.637	1077.481	0.486	0.019	7.473	-0.346	-0.019	0.916	0	0.924	0.916	0.913	0.868	0.824	0.902	
Patch31	A01	1	0	1	0	0	0	0	-2.648	1420.39	0.307	0.018	7.136	0.589	-0.02	0.945	0	0.819	0.945	0.879	0.871	0.853	0.896	
Patch32	A37	1	0	0	0	1	0	0	-2.908	1494.461	0.183	0.015	7.269	0.586	-0.021	0.705	0	0.690	0.699	0.651	0.705	0.679	0.675	
Patch33	A37	1	0	0	0	1	0	0	-2.783	1784.607	0.308	0.016	7.952	0.643	-0.016	0.925	0	0.916	1.001	0.962	0.925	0.906	1.197	
Patch34	A00	1	1	0	0	0	0	0	-2.928	1794.272	0.361	0.02	7.58	0.402	-0.019	0.849	0	0.849	0.890	0.820	0.817	0.789	0.884	
Patch35	E20	1	0	0	0	0	0	1	-2.755	1309.936	0.46	0.017	6.906	0.376	-0.015	2.423	0	2.078	2.498	1.857	1.988	2.193	2.423	
Patch36	E20	1	0	0	0	0	0	1	-2.644	1623.536	0.302	0.016	7.581	0.139	-0.017	2.09	0	1.871	2.155	1.621	1.684	1.920	2.090	
